"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="1254277656313903332","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1208304302212399392","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","54.80","1","null","口味：秘制浓香325g*3【加送2袋发5袋】","null","null","买家已付款，等待卖家发货","null"
="1208304302212399392","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","49.80","1","null","口味：经典鲜香305g*3【加送2袋发5袋】","null","null","买家已付款，等待卖家发货","null"
="1254230748170991814","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1255281159329072360","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1207561476281134889","小柒馆螺蛳粉305g*8袋礼盒装广西柳州螺狮粉速食米线方便面酸辣粉","129.00","1","null","口味：经典鲜香礼盒【305g*8包】","null","null","买家已付款，等待卖家发货","null"
="1254186144306147651","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","54.80","1","null","口味：秘制浓香325g*3【加送2袋发5袋】","null","null","买家已付款，等待卖家发货","null"
="1207503300663813788","小柒馆螺蛳粉305g*8袋礼盒装广西柳州螺狮粉速食米线方便面酸辣粉","129.00","1","null","口味：经典鲜香礼盒【305g*8包】","null","null","交易成功","null"
="1254726975186672514","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254532826447064337","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254464533624846872","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254521270297717570","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1202368921637411610","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254443941445956931","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254451969040881276","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254495674588956931","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254647019745286127","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254631791367401120","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","交易成功","null"
="1202360895310312706","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","交易成功","null"
="1253499948545466851","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254356425682466851","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254318122687766962","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","29.80","1","null","口味：秘制浓香325g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1253377044141142751","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1253235852054423028","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254075661333122986","小柒馆螺蛳粉305g*8袋礼盒装广西柳州螺狮粉速食米线方便面酸辣粉","129.00","1","null","口味：经典鲜香礼盒【305g*8包】","null","null","卖家已发货，等待买家确认","null"
="1253209140031482222","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254041461213762439","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","交易关闭","null"
="1254234423407494659","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254221391860607517","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","29.80","1","null","口味：秘制浓香325g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254079082296142451","小柒馆螺蛳粉非10袋礼盒装广西柳州螺狮粉速食米线方便面酸辣粉","129.00","1","null","口味：经典鲜香礼盒【305g*8袋】","null","null","卖家已发货，等待买家确认","null"
="1254036673184607517","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","29.80","1","null","口味：秘制浓香325g*1【加送1袋发2袋】","null","null","交易关闭","null"
="1254009349721317041","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1254068643328231842","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
="1208139169194309787","小柒馆正宗柳州螺蛳粉广西特产螺狮粉305g*5速食米线酸辣粉螺丝粉","19.90","1","null","口味：经典鲜香305g*1【加送1袋发2袋】","null","null","卖家已发货，等待买家确认","null"
